CODIGO,DETALLE,PRECIO
0000000999600,DIFERENCIA TICKET 1 1,20
0000078011083,LEVADURA LEFERSA FRESCA X20UN 38G,599
0000078013308,JALEA COLUN LIMON 100G,329
0000078014046,JALEA COLUN GUINDA 100G,329
0000078014053,JALEA COLUN PINA 100G,329
0000078020566,COMPOTA SOPROLE MANZANA 125G,529
0000078045200,ALFAJOR CHILENO 3U 135GR NUTRABIEN,990
0000078057241,CHANDELLE LUCUMA 130G,899
0000078093676,CHANDELLE CHOC. 130G,899
0000078098152,SALERO CHICO LOBOS 125G,629
0000080177173,NUTELLA FERRERO 350GR,9990
0000090415319,RED BULL 250CC BLUE EDITION,1690
0000090424496,RED BULL 250CC TROPICAL YELLOW,1690
0010343958081,IMPRESORA EPSON ECOTANIK L3210-EPSON L3210,149900
0019200028455,LYSOL AEROSOL DESINF. SPRING WATER FALL 354 G,3490
0019200741866,DESINF. LYSOL CRISP LINEN 370 ML,3890
0021000026326,MAY. KRAFT FCO 789 GRS,7990
0021000026968,MAY. KRAFT FCO 394 GRS,5290
0021331015679,AUD.FROZEN ELSA ALAM.,7990
0021331017574,AUD. FROZEN ANNA ALAM.,7990
0021331701862,AUD. IRON MAN ALAM.,10990
0021331751898,AUD. CAP. AMAERICA ALAM.,10990
0026964177190,RON FLOR DE CANA37.5° 4 ANOS 750,8990
0034100005696,C. MILLER 4.7° BOTELLA 650CC,2490
0034264418530,BATIDORA INMERSION 2616OSTER,26990
0034264427877,BATIDORA MANUAL,15990
0034264458499,MOLINILLO DE CAFE H23 OSTER OSTER,19990
0034264460218,HORNO 15LTB OSTER INOX OSTER,38990
0034264461925,PARRILLA BIOCERAMICO 4881 OSTER,52990
0034264464469,MULTIGRILL PANINNI OSTER 2880,36990
0034264465121,PARRILLA BIOCE.3884-052 OSTER,34990
0034264478510,BATIDORA 5103R OSTER CON VASO OSTER,41990
0034264491427,HERVIDOR 8970 C TEMP OSTER,25990
0034264491427,HERVIDOR 8970 C TEMP OSTER,26000
0041333001005,PILA DURACELL CHICA AA X 2UND,3290
0041333001074,PILA DURACELL AAA X 2 UND,3290
0047400241459,ESP.AFEITAR GILLETTE SERIES SENSITIVE SKIN 312G,6990
0050000207084,COFFEE MATE VAINILLA 425G,4990
0050875530027,PARILLA BLACK DECKER NEGRO IG201-CL,45990
0050875819283,BATIDORA BLACK DECKER BLANCO MX1500W-CL,15990
0050875819283,BATIDORA BLACK DECKER BLANCO MX1500W-CL,16990
0053891127714,LIC PERSONAL 2094603B220OSTER,29990
0053891128148,BATIDORA 440 WTS 2095148 OSTER,19990
0053891133586,HERVIDOR 889R OSTER 20101789 2,19900
0053891133616,HERVIDOR TET 2101842 388V OSTER,34990
0053891134637,HERVIDOR 2096342 CRIS 5802B OSTER,26990
0053891134699,HERVIDOR 889N OSTER 2.5L 20963-,19990
0053891139212,LIC BLANCA 550 WTS 2112248-OSTER,44990
0053891140317,LICUA CROMADA 4655 3 VEL.700 WA OSTER,69990
0053891142731,CAF 12 TAZAS PROG.,39990
0053891143189,LIC 2 VEL PULSO NPB NIQUEL 1.5 LTS 550 WATTS OSTER,54990
0053891143868,BATIDORA MAN3532 2121779 OSTER,16990
0053891145329,BATIDORA MAN. 101 OSTER OSTER,14990
0053891145336,BATIDORA MAN. 101 OSTER 2125951,13990
0053891146999,CAFETERA 5 TAZAS DC05 2128262 OSTER,19990
0053891147385,FREIDORA 1.8 LTS 2128610 OSTER-OSTER 2128610,24990
0053891152068,EXPRIMIDOR CIT 10FPSTJU104-052 2135909 OSTER,13990
0053891153096,FREIDORA 1.8 LTS 2138178 OSTER-,46990
0053891156103,HERV NEGRO 3101 1 7LT OSTER 2143572,13990
0059491000358,INSTANT MR. NOODLES CARNE 85G,599
0059491000501,INSTANT MR. NOODLES POLLO 85G,599
0059491002208,MR. NOODLES VEGETALES 64G,1090
0059491002352,MR. NOODLES CARNE 64G,1090
0059491002505,MR. NOODLES POLLO 64G,1090
0059491002550,MR. NOODLES POLLO PICANTE 64G,1090
0059491002802,MR. NOODLES THAI 64G,1090
0062020050526,NUTELLA - GO 52 GRS,2590
0070177029623,TE EARL GREY 100GRS TWININGS,8990
0070177050580,PURE CEYLON TEA,3490
0070177078904,TE TWININGS ENGLISH BREAKFAST 50 BOLS,8590
0070177078966,TE TWININGS EARL GREY 50 BOLS,8590
0070177086671,TE LADY GREY 100GRS TWININGS,7990
0070177169633,INFUSION TWININGS FRUTILLA MANGO,3490
0070501051054,TOALL. DESMAQ. DIA NEUTROGENA,5290
0070501053553,TOALL. DESMAQ. NEUTROGENA NOCHE,5290
0070847009511,ENERGETICA MONSTER ENERGY NORMAL 473CC 1963,1890
0070847009559,ENERGETICA MONSTER RIPPER 473CC 1965,1990
0070847021964,ENERGETICA MONSTER ULTRA 473CC 1966,1890
0070847033219,ENERGETICA MONSTER ZERO 473 CC 1973,1890
0070847035206,ENERGETICA MONSTER ULTRA PARADISE 473CC 1980,1890
0071641175822,SHARPIE PUNTA FINA PASTEL TJX8 2102521,7290
0073149062789,ESCURRIDOR P/PLATOS 47.6X34.9X14CM 764-06278006,12900
0073149064899,ORGANIZADOR 18QT 764-06489006,4990
0074590530278,SECADOR PELO D2400 REMINGTON,13990
0074590543643,ALISADOR REMIG. GRISS6300 BV R,21990
